Wall time,Step,Value
1598603227.990643,186688,1.0
1598603379.285195,187090,1.0
1598603402.081828,187140,1.0
1598603602.3396258,187674,1.0
1598603709.6622822,187943,1.0
1598603720.654944,187989,1.0
1598604204.6995857,189259,1.0
1598604229.8713996,189322,1.0
1598604458.3972979,189933,1.0
1598604613.4235895,190338,1.0
1598604652.5284684,190442,1.0
1598605332.4099245,192215,1.0
1598606240.0299172,194621,1.0
1598606491.5349617,195297,1.0
1598606528.5737886,195400,1.0
1598606621.0306325,195619,1.0
1598607039.347368,196726,1.0
1598607053.9399405,196776,1.0
1598607618.3682394,198201,1.0
1598607850.7510083,198851,1.0
1598607852.0714521,198855,1.0
1598608013.963273,199287,1.0
1598608157.1408432,199662,1.0
1598608377.1909895,200211,1.0
1598608829.2826228,201401,0.96875
1598608971.343239,201785,1.0
1598609034.2109962,201920,1.0
1598609428.3989081,202969,1.0
1598610118.34463,204753,1.0
1598610384.5031989,205432,1.0
1598610643.9673185,206110,1.0
1598610994.9997582,207050,0.96875
1598611218.5879207,207609,1.0
1598611648.0396047,208748,1.0
1598611719.323388,208934,1.0
1598612113.6390796,209988,1.0
1598612189.9989038,210191,1.0
1598612594.627545,211241,1.0
1598612762.959107,211696,0.96875
1598613297.9224982,213099,1.0
1598613329.0822594,213176,1.0
1598613597.828557,213867,1.0
1598613680.038851,214085,1.0
1598613701.6752496,214120,1.0
1598613887.8786643,214610,1.0
1598613930.7866125,214727,1.0
1598614159.6466947,215330,1.0
1598614393.6625216,215953,1.0
1598614425.0160801,216023,0.96875
1598614433.8786135,216052,1.0
1598615135.224004,217867,1.0
1598615272.5780015,218220,1.0
1598615281.1306448,218243,1.0
1598615779.1969228,219514,1.0
1598615865.267086,219790,1.0
1598615900.0704541,219861,1.0
1598616050.1925642,220265,1.0
1598616277.029918,220837,1.0
1598616439.551642,221270,1.0
1598616704.186667,221948,1.0
1598616747.6237175,222044,1.0
1598617314.0613291,223537,1.0
1598617815.9453812,224845,1.0
1598617958.2478726,225204,1.0
1598618359.032274,226247,1.0
1598618388.6923096,226345,1.0
1598618391.1750994,226357,0.96875
1598618806.9955869,227411,1.0
1598619009.4307282,227965,1.0
1598619009.8153799,227967,0.96875
1598619085.919901,228171,1.0
1598619236.5991387,228583,1.0
1598619237.1581054,228586,1.0
1598619393.1373239,228999,1.0
1598619504.4758568,229290,1.0
1598619571.062738,229444,1.0
1598619621.5844018,229573,1.0
1598619876.6898472,230243,1.0
1598620173.260955,231023,1.0
1598620566.4238038,232060,1.0
1598620603.2639723,232174,1.0
1598620607.7118447,232192,1.0
1598620711.159161,232435,1.0
1598621097.1392558,233470,1.0
1598621100.736848,233485,1.0
1598621163.9451206,233632,1.0
1598621236.1971529,233809,1.0
1598621275.8072305,233937,1.0
1598621462.0074854,234458,1.0
1598621643.2290382,234917,1.0
1598621697.5108986,235059,1.0
